"SITE NAME","GLOBAL ID",SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
CHEVRON,T0601300647,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10192 SAN PABLO AVE","EL CERRITO",37.904142,-122.303847
CHEVRON,T0601300658,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2695 PINOLE VALLEY RD",PINOLE,37.995773,-122.285056
CHEVRON,T0601300374,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2234 MACDONALD AVE",RICHMOND,37.935462,-122.347941
CHEVRON,T0601300083,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2025 23RD ST","SAN PABLO",37.9608909,-122.346468
CHEVRON,T0601300704,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2218 MARKET ST","SAN PABLO",37.956735,-122.347801
CHEVRON,T0601300058,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4251 HILLTOP DR",RICHMOND,37.976687,-122.313175
CHEVRON,T0601300050,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3548 SAN PABLO DAM RD","EL SOBRANTE",37.963462,-122.32039
CHEVRON,T0601300049,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","11319 SAN PABLO AVE","EL CERRITO",37.921068,-122.315764
CHEVRON,T0601300572,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4071 SAN PABLO DAM RD","EL SOBRANTE",37.966364,-122.310302
CHEVRON,T0601300069,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","901 CUTTING BLVD W",RICHMOND,37.925619,-122.378632
CHEVRON,T0601300057,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1820 RUMRILL BLVD","SAN PABLO",37.959137,-122.356286
CHEVRON,T0600100289,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1101 UNIVERSITY AVE",BERKELEY,37.869259,-122.290894
"CHEVRON #9-2472",T10000005374,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2301 CUTTING BLVD",RICHMOND,37.925419466897,-122.347451400697
"CHEVRON #9-4334",T0601300392,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","13052 SAN PABLO AVE","SAN PABLO",37.950265,-122.331157
"CHEVRON #9-45912",T0601300078,"LUST CLEANUP SITE","OPEN - REMEDIATION","550 SAN PABLO AVE",PINOLE,38.003029,-122.316521
"CHEVRON #9-5928 / WERNER PROPERTY",T0600102129,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","701 SAN PABLO",ALBANY,37.89337666354388,-122.29970812797546
"CHEVRON CHEMICAL",SL18244665,"CLEANUP PROGRAM SITE","OPEN - VERIFICATION MONITORING","940 HENSLEY ST",RICHMOND,37.945446,-122.367112
"CHEVRON CHEMICAL CO",3001618,INSPECTION,"NO ACTION","940 HENSLEY ST",RICHMOND,37.94502,-122.36903
"CHEVRON CHEMICAL CO., LLC",71002390,"TIERED PERMIT","INACTIVE - NEEDS EVALUATION","940 HENSLEY STREET",RICHMOND,37.9450999,-122.36923
"CHEVRON CHEMICAL COMPANY",T0601300633,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","835 CASTRO ST",RICHMOND,37.9371,-122.37945
"CHEVRON CHEMICAL COMPANY",T0601300505,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","992 HENSLEY ST",RICHMOND,37.945521,-122.366288
"CHEVRON CHEMICAL COMPANY, RICHMOND FACILITY",80001377,"CORRECTIVE ACTION","REFER: RWQCB","940 HENSLEY ST",RICHMOND,37.950517,-122.37645
"CHEVRON HISTORIC PIPELINE",T10000006730,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","850 SAN PABLO AVENUE",PINOLE,38.0044228618897,-122.312555968628
"CHEVRON LAND AND DEV CO ROBERTSON HOMES",SLT2O236332,"CLEANUP PROGRAM SITE","OPEN - VERIFICATION MONITORING","GARRITY CREEK & ATLAS (SOUTH OF)",RICHMOND,37.9893646407588,-122.327055931091
"CHEVRON ORTHO",7280094,"STATE RESPONSE OR NPL","REFER: RWQCB","940 HENSLEY STREET",RICHMOND,37.94502,-122.36903
"CHEVRON ORTHO RESEARCH CENTER",7290041,EVALUATION,"REFER: OTHER AGENCY","15049 SAN PABLO AVENUE",RICHMOND,37.982914,-122.33869
"CHEVRON PIPELINE SITE",SLT2O232328,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","902 HENSLEY ST",RICHMOND,37.94656,-122.371632
"CHEVRON PRODUCTS CO",80001593,"CORRECTIVE ACTION","REFER: RWQCB","841 CHEVRON WAY",RICHMOND,37.938348,-122.38429
"CHEVRON RESEARCH & TECH COMPANY",T0601300510,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","100 CHEVRON WY",RICHMOND,37.929919,-122.386109
"CHEVRON RICHMOND REFINERY",SL18236654,"CLEANUP PROGRAM SITE","OPEN - REMEDIATION","841 CHEVRON WAY",RICHMOND,37.9378177298504,-122.390956878662
"CHEVRON RICHMOND TECHNOLOGY CENTER, BLDG #35",T10000003563,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","100 CHEVRON WAY",RICHMOND,37.9304219,-122.3875022
"CHEVRON SERVICE STATION 9-0222",T0601368568,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2900 HILLTOP MALL ROAD",RICHMOND,37.978369,-122.331882
"CHEVRON STATION 9-1229",T10000000408,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1820 SOLANO AVENUE",BERKELEY,37.8911,-122.279571
"CHEVRON USA INC RICHMOND REFINERY",3000291,INSPECTION,"NO ACTION","841 CHEVRON WAY",RICHMOND,37.9296004,-122.38928
"CHRIS'S PAYLESS PLUMBING",T0600131578,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1207 TENTH STREET",BERKELEY,37.881597,-122.297042
"CITY OF ALBANY",T0600101913,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1247 MARIN",ALBANY,37.8876541,-122.2931661
"CITY OF ALBANY CORP YARD",T0600100366,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","507 SAN GABRIEL",ALBANY,37.897043,-122.29456
"CITY OF ALBANY FIRE DEPARTMENT",T0600102152,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1000 SAN PABLO AVENUE",ALBANY,37.8876942197531,-122.298945039511
"CITY OF RICHMOND",T0601300090,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1080 HENSLEY STREET",RICHMOND,37.9475838037174,-122.363967388344
"CITY OF RICHMOND CORPORATION YARD",T0601387827,"LUST CLEANUP SITE","OPEN - SITE ASSESSMENT","6 13TH ST",RICHMOND,37.931676,-122.356632
"CITY OF RICHMOND CORPORATION YARD",T10000008780,"CLEANUP PROGRAM SITE","OPEN - SITE ASSESSMENT","6 13TH STREET",RICHMOND,37.93173,-122.35668
"CIVIC CENTER PLAZA APARTMENTS",T0601300634,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10940 SAN PABLO AVE","EL CERRITO",37.916759,-122.311766
"CLEAN LIVING CLEANERS",SLT19786691,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1538 SOLANO",ALBANY,37.891017,-122.285861
"CLEAR COMM",T0600101427,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","945 CAMELIA",BERKELEY,37.878468,-122.298198
"COAST COUNTIES TRUCK & EQUIPMENT",T0601300372,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1050 BROOKSIDE DR",RICHMOND,37.964145517486685,-122.35748291015625
"COLOR SPOT INC",T0601300379,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1950 GARDEN TRACT RD",RICHMOND,37.962121,-122.375977
"COLOR SPOT NURSERY PARCELS 1, 2 AND 3",T10000004702,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","00 RICHMOND PARKWAY",RICHMOND,37.9677389,-122.3737958
"COLOR SPOT NURSERY, YARD 3",60000920,EVALUATION,"NO ACTION REQUIRED","177 PARR BLVD",RICHMOND,37.969711,-122.37044
COMMERCIAL,T0601300718,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10879 SAN PABLO AVE","EL CERRITO",37.91548,-122.311699
"COMMUNITY HOUSING DEVELOPMENT CORP OF N. RICHMOND",T0601396410,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1267 FILBERT ST",RICHMOND,37.951758,-122.367297
"COMMUNITY HOUSING DEVELOPMENT CORP.",T0601373321,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1300 FILBERT ST",RICHMOND,37.952167,-122.366572
"CONOCOPHILLIPS, RICHMOND TERMINAL",T10000000099,"CLEANUP PROGRAM SITE","OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION","1300 CANAL STREET.",RICHMOND,37.915409,-122.368454
"CONTAINER CARE LIMITED",T0601300093,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","860 HARBOUR WY S",RICHMOND,37.919907,-122.359286
"CONTAINER STORAGE INC",T0601300094,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","23 MAINE AVE",RICHMOND,37.92797,-122.36907
"CONTRA COSTA COLLEGE",T0601300096,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2600 MISSION BELL DR","SAN PABLO",37.966727,-122.342729
"COOPER CHEMICAL",7280154,"STATE RESPONSE OR NPL","CERTIFIED / OPERATION & MAINTENANCE","2801 GIANT ROAD",RICHMOND,37.9748189,-122.35572
"CORTESE OLDSMOBILE",T0601300471,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","160 23RD ST",RICHMOND,37.933287,-122.347077
"CRAIG PROPERTY",T0601316740,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2600 RUMRILL BLVD","SAN PABLO",37.968137187,-122.346167838
"CROWN CORK & SEAL",T0601300104,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","601 PARR BLVD",RICHMOND,37.969505,-122.360772
CUROCO,7360048,EVALUATION,"NO ACTION REQUIRED","2775 GOODRICK AVENUE",RICHMOND,37.9734811,-122.36592
"CUROCO STEEL SYSTEMS",T0600100426,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","536 CLEVELAND",ALBANY,37.8960269,-122.309512
"CUROCO STEEL SYSTEMS (TOXIC)",T06019744824,"CLEANUP PROGRAM SITE","OPEN - INACTIVE","536 CLEVELAND",ALBANY,37.896294,-122.309783
"DAVIS LUMBER SALES",T0601300364,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","13685 SAN PABLO AVE","SAN PABLO",37.956636,-122.339365
"DAVLIN COATINGS",T0600102292,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","700 ALLSTON WY",BERKELEY,37.864306,-122.299569
"DEAN BROTHERS MOHAWK STATION",T0601300469,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","478 APPIAN WY","EL SOBRANTE",37.978287,-122.296071
"DEL NORTE CLEANERS",60001445,"VOLUNTARY CLEANUP",ACTIVE,"11299 SAN PABLO AVENUE","EL CERRITO",37.920019,-122.3156
"DELLA ZOPPA PROPERTY",T0601300409,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","12284 SAN PABLO AVE",RICHMOND,37.935163,-122.324596
"DENNISON EASTMAN CORP.",7390027,"STATE RESPONSE OR NPL","NO FURTHER ACTION","3451 COLLINS ST",RICHMOND,37.9799129,-122.35567
DESOTO,T0600102170,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1608 4TH ST",BERKELEY,37.873495,-122.3017911
"DI GAS COMPANY",T0601300111,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3254 PIERCE ST",RICHMOND,37.899773,-122.308039
"DINWIDDIE CONSTRUCTION COMPANY",T0600100449,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1201 8TH ST",BERKELEY,37.8815721,-122.2997331
"DOHERTY'S RENTAL",T0601300501,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10895 SAN PABLO AVE","EL CERRITO",37.9154229,-122.312059
"DON STROUGH PROPERTY",T0600101399,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","718 SAN PABLO",ALBANY,37.893577,-122.300364
"DON'S TIRE SERVICE, INC. (FORMERLY FRANK'S TIRE SERVICE)",T0600100612,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","820 GILMAN ST",BERKELEY,37.87928629749729,-122.30164028108982
"DOVE CHEMICAL",T0600100762,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","707 PARK",BERKELEY,37.880322,-122.304619
"DOVER ELEMENTARY SCHOOL",7820008,SCHOOL,"NO FURTHER ACTION","1871 21ST STREET","SAN PABLO",37.9585234,-122.34991
"DREW MIDDLE AND SOUTH PROPERTY",7390024,"VOLUNTARY CLEANUP","CERTIFIED / OPERATION & MAINTENANCE","CASTRO STREET & HENSLEY STREET",RICHMOND,37.9464988,-122.37161
"DREW SALES",7500035,"STATE RESPONSE OR NPL","CERTIFIED / OPERATION & MAINTENANCE","1156 CASTRO STREET",RICHMOND,37.949694,-122.36788
"DUPONT CHEMICAL",T0600165879,"CLEANUP PROGRAM SITE","OPEN - INACTIVE","1501 EASTSHORE AVENUE",BERKELEY,37.87426922501129,-122.30493350817869
"DWB PARTNERS PROPERTY",T10000001749,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","14205 SAN PABLO AVE","SAN PABLO",37.963284,-122.346075
"EAST BAY MUNICIPAL UTILITIES DISTRICT",7490046,EVALUATION,"NO FURTHER ACTION","CENTRAL & BROOKSIDE",RICHMOND,37.965,-122.37
"EAST BAY WASHRACK FORMER ACME TRUCK",SL0601308926,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS","2812 GIANT ROAD","SAN PABLO",37.972567,-122.354801
"EAST BAY WASHRACK INC",T0601300112,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS","2832 GIANT RD","SAN PABLO",37.9915,-122.3537
"EASTSHORE PARK - REMAINDER",SL0600164054,"CLEANUP PROGRAM SITE","OPEN - REMEDIATION","BERKELEY, ALBANY, AND RICHMOND",BERKELEY,37.876614892334,-122.308119535446
"EBMUD OLD N AREA SERVICE CENTER",T0601300619,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1 4TH ST",RICHMOND,37.9314358,-122.3656894
"EBMUD SAN PABLO FILTER PLANT",T0601300423,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","300 BERKELEY PARK BLVD",KENSINGTON,37.9010074,-122.2863616
"ECOLOGY CONTROL INDUSTRIES",3001428,INSPECTION,"OUT OF COMPLIANCE","255 PARR BLVD",RICHMOND,37.9682774,-122.36772
"ECOLOGY CONTROL INDUSTRIES",80001634,"CORRECTIVE ACTION","NO FURTHER ACTION","255 PARR BLVD",RICHMOND,37.969368,-122.36777
"EFG-CAMPUS BAY",60002581,"VOLUNTARY CLEANUP",ACTIVE,"1415 SOUTH 47TH STREET",RICHMOND,37.914409,-122.33091
"EGBERT HILLTOP SERVICE",T0601300113,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3144 SHANE RD",RICHMOND,37.975881,-122.327605
"EL CERRITO CITY OF",T0601300088,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","6009 POTRERO AVE","EL CERRITO",37.921,-122.3162
"EL CERRITO CITY OF PUBLIC SAFETY BUILDIN",T0601300737,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10900 SAN PABLO AVE","EL CERRITO",37.916233,-122.311359
"EL CERRITO MILL AND LUMBER",7240025,"VOLUNTARY CLEANUP",CERTIFIED,"10812 SAN PABLO AVENUE","EL CERRITO",37.9145969,-122.30889
"EL CERRITO PLAZA",SL1821W615,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","EL CERRITO PLAZA","EL CERRITO",37.901009,-122.300309
"EL CERRITO REDEVELOPMENT AGENCY",T0601300114,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1718 EASTSHORE BLVD","EL CERRITO",37.922028,-122.316847
"EL PORTAL SHOPPING CENTER",SL601392701,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","SAN PABLO AVENUE AND MISSION BELL DRIVE","SAN PABLO",37.970398,-122.3424
"ELECTRO FORMING CO. - RICHMOND",1330044,"STATE RESPONSE OR NPL",ACTIVE,"130 NEVIN AVENUE",RICHMOND,37.9365777,-122.36784
"EMPORIUM CAPWELL",T0601300672,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1 EL CERRITO PLAZA","EL CERRITO",37.902694,-122.298968
"ENGINEERED SYSTEMS",T0601300465,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","720 12TH ST",RICHMOND,37.942984,-122.35844
"EPWORTH CHURCH",T0600100521,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1953 HOPKINS ST",BERKELEY,37.887353,-122.27375
"EQUITY PROPERTY MANAGEMENT",T0601391824,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","401 COLUSA AVENUE",KENSIGNTON,37.8995790358275,-122.28660120636
"EQUITY PROPERTY MANAGEMENT",T0601391202,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","370 COLUSA CIR",KENSINGTON,37.899766,-122.287856
"ERICKSON INC",T0601300117,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","255 PARR BLVD",RICHMOND,37.969094,-122.366716
"ERICKSON PROPERTY",T0601300671,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","249 TEWKSBURY AVE","POINT RICHMOND",37.928668,-122.386848
"ERNIE VAN AND STORAGE",T0600100525,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1650 6TH ST",BERKELEY,37.8729781,-122.299287
"ERWIN AUTOMOTIVE",T0601300118,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1441 BROADWAY AVE","SAN PABLO",37.972816,-122.349239
"ESTATE OF JOHN O'MALEY",T10000001609,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","26 20TH ST",RICHMOND,37.931974,-122.349948
"EXPRESS ELECTRIC",T06019775698,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1071 SAN PABLO",ALBANY,37.884307,-122.296643
"EXPRESS GAS",T0601300594,"LUST CLEANUP SITE","OPEN - ELIGIBLE FOR CLOSURE","575 23RD ST",RICHMOND,37.93967,-122.347798
EXXON,T0601300727,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2401 APPIAN WY",PINOLE,37.992257,-122.30028
EXXON,T0619716673,"LUST CLEANUP SITE","OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION","990 SAN PABLO AVE.",ALBANY,37.8880297384886,-122.298474311829
EYCHNER,T0600100557,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1120 2ND ST",BERKELEY,37.881036,-122.307019
"FARIA TRUST",T0601300128,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3131 MACDONALD AVE",RICHMOND,37.934807,-122.339245
"FASS METAL/BONNER",T10000011309,"CLEANUP PROGRAM SITE","OPEN - INACTIVE","818 W GERTRUDE AVENUE",RICHMOND,37.95528,-122.37744
"FASS METALS",7330030,"STATE RESPONSE OR NPL","CERTIFIED / OPERATION & MAINTENANCE","818 W. GERTRUDE AVENUE",RICHMOND,37.9544851,-122.37756
"FERREIRA PLUMBING",T0600100570,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1724 SAN PABLO AVE",BERKELEY,37.872508,-122.293646
"FERRY POINT",T0601391562,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","DORNAN DRIVE, POINT RICHMOND AREA (PARCEL #'S 561-010-015, 561-010-006, AND 561-010-01)",RICHMOND,37.909618,-122.386429
"FILBERT TOWNHOMES",60002142,"VOLUNTARY CLEANUP",ACTIVE,"1329 FRED JACKSON WAY",RICHMOND,37.952449,-122.36718
"FIRESTONE #3655",T0600101674,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","969 SAN PABLO AVENUE",ALBANY,37.8881059444237,-122.297945916653
"FIVE STAR CLEANERS",SL0601392884,"CLEANUP PROGRAM SITE","OPEN - REMEDIATION - LAND USE RESTRICTIONS","2145 RUMRILL BLVD","SAN PABLO",37.9636380015323,-122.355680465698
"FLEMING FOODS",T0601300149,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","32ND ST&GRIFFIN AVE (3200 REGATTA)",RICHMOND,37.918263,-122.337465
"FLINT INK CORPORATION",T0600176676,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1350 FOURTH STREET",BERKELEY,37.878033,-122.303294
"FLINT INK CORPORATION",SL0600172262,"CLEANUP PROGRAM SITE","OPEN - REMEDIATION - LAND USE RESTRICTIONS","750 GILMAN STREET",BERKELEY,37.878851,-122.303885
"FLORIDA AVENUE AND SOUTH 46TH STREETS",60001435,EVALUATION,"NO ACTION REQUIRED","FLORIDA AVENUE AND SOUTH 46TH STREETS",RICHMOND,37.929034,-122.32641
"FMC CORPORATION - RICHMOND",7280011,"STATE RESPONSE OR NPL","CERTIFIED / OPERATION & MAINTENANCE","855 PARR BLVD",RICHMOND,37.9678304,-122.35704
"FOOD & LIQUOR",T0601300134,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1007 SAN PABLO AVE",PINOLE,38.005261,-122.304134
"FORD CLOTHES CLEANERS",60000923,EVALUATION,"INACTIVE - NEEDS EVALUATION","105-111 NEVIN AVE",RICHMOND,37.9370561,-122.36839
"FOREIGN AUTO CENTER",T0600100603,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1197 SAN PABLO AVE",BERKELEY,37.8825069,-122.296107
"FORMER ARROW TRANSPORTATION",T0601300025,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1030 WRIGHT AVE",RICHMOND,37.9212,-122.3587
"FORMER BEACON STATION",T0601300351,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2701 PINOLE VALLEY RD",PINOLE,37.995511646,-122.285509801
"FORMER BNSF PROPERTY, RUMRILL BLVD.",70000080,"VOLUNTARY CLEANUP","CERTIFIED / OPERATION & MAINTENANCE","RUMRILL BLVD AT CHELSEY AVENUE","SAN PABLO",37.9563717,-122.35758
"FORMER BP #11149",T0601300036,"LUST CLEANUP SITE","OPEN - REMEDIATION","12319 SAN PABLO AVE",RICHMOND,37.9356023803883,-122.32564604776223
"FORMER BP STATION #11152",T0601346109,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2500 SAN PABLO DAM ROAD","SAN PABLO",37.954775,-122.330508
"FORMER BUDWAY TRUCKING FACILITY",T0601381753,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1015 CHESLEY AVE",RICHMOND,37.956446,-122.358855
"FORMER BUILDING MATERIALS UNLIMITED INC.",T0601300730,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2121 SAN JOAQUIN ST",RICHMOND,37.906971,-122.315144
"FORMER CHEVRON",T0600117754,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1900 SAN PABLO AVENUE",BERKELEY,37.870412,-122.292637
"FORMER CHEVRON SITE #301949 (9-7093)",T0601351806,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1122 23RD ST",RICHMOND,37.949728,-122.347419
"FORMER CHEVRON STATION #9-2472",T0601300077,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2315 CUTTING BOULEVARD",RICHMOND,37.9254289008067,-122.347376346588
"FORMER COGNIS CORPORATION FACILITY",SL0601373745,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1140 HARBOUR WAY SO.",RICHMOND,37.916407,-122.358289
"FORMER EXXON 7-0103",T0601300122,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","12678 SAN PABLO AVE",RICHMOND,37.943604,-122.328593
"FORMER EXXON 7-0246",T0601300300,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","5430 CENTRAL AVE",RICHMOND,37.9007973657047,-122.309975624084
